nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Ac228,755.315,1,0.03,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1724.288->968.972,gamma
Ac228,770.04,0.0063,0.0008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1893.02->1122.949,gamma
Ac228,772.291,1.49,0.03,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1168.377->396.083,gamma
Ac228,774.1,0.06,0.00006,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,831.822->57.763,gamma
Ac228,776.56,0.019,0.006,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1944.83->1168.377,gamma
Ac228,778.23,0.022,0.006,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1297.440->519.195,gamma
Ac228,782.142,0.485,0.019,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,968.972->186.827,gamma
Ac228,791.49,0.01,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1760.17->968.972,gamma
Ac228,791.49,0.013,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1944.83->1153.465,gamma
Ac228,792.8,0.08,0.00008,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,979.507->186.827,gamma
Ac228,794.947,4.25,0.07,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1122.949->328.006,gamma
Ac228,813.77,0.007,0.0016,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,1688.398->874.48,gamma
Ac228,816.71,0.03,0.003,IAEA-NDS/ENSDF;decay=B-;eval=KHALIFEH ABUSALEEM;cutoff=31-Dec-2012;type=gamma,874.48->57.763,gamma
