             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22
 *****************  New condition ***********************************************************************************************
W-index= 11.1 Rc(GV)= 1.3758 depth(g/cm2)= 231.465 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1          -0.9          -0.8          -0.7          -0.6          -0.5          -0.4          -0.3          -0.2          -0.1             0           0.1           0.2           0.3           0.4           0.5           0.6           0.7           0.8           0.9             1 (/(MeV/n)/cm2/s/sr)
  8.971700e-03  2.142437e+00  2.148380e+00  2.154311e+00  2.160231e+00  2.166136e+00  2.172024e+00  2.177893e+00  2.183737e+00  2.189549e+00  2.195311e+00  2.197408e+00  2.198233e+00  2.202001e+00  2.206312e+00  2.211017e+00  2.216040e+00  2.221333e+00  2.226860e+00  2.232596e+00  2.238523e+00  2.244623e+00
  1.129400e-02  1.746253e+00  1.751191e+00  1.756121e+00  1.761040e+00  1.765947e+00  1.770840e+00  1.775717e+00  1.780573e+00  1.785401e+00  1.790187e+00  1.792042e+00  1.792869e+00  1.796070e+00  1.799731e+00  1.803727e+00  1.807993e+00  1.812487e+00  1.817181e+00  1.822053e+00  1.827086e+00  1.832266e+00
  1.421900e-02  1.426118e+00  1.430243e+00  1.434360e+00  1.438469e+00  1.442567e+00  1.446653e+00  1.450725e+00  1.454780e+00  1.458811e+00  1.462807e+00  1.464461e+00  1.465283e+00  1.468014e+00  1.471138e+00  1.474549e+00  1.478189e+00  1.482024e+00  1.486030e+00  1.490187e+00  1.494481e+00  1.498902e+00
  1.790100e-02  1.167339e+00  1.170804e+00  1.174262e+00  1.177712e+00  1.181154e+00  1.184586e+00  1.188005e+00  1.191410e+00  1.194795e+00  1.198149e+00  1.199637e+00  1.200446e+00  1.202789e+00  1.205468e+00  1.208393e+00  1.211516e+00  1.214805e+00  1.218241e+00  1.221806e+00  1.225489e+00  1.229280e+00
  2.253600e-02  9.578877e-01  9.608156e-01  9.637378e-01  9.666534e-01  9.695617e-01  9.724613e-01  9.753505e-01  9.782269e-01  9.810862e-01  9.839194e-01  9.852683e-01  9.860624e-01  9.880825e-01  9.903929e-01  9.929149e-01  9.956071e-01  9.984434e-01  1.001405e+00  1.004479e+00  1.007655e+00  1.010924e+00
  2.837100e-02  7.881021e-01  7.905927e-01  7.930783e-01  7.955583e-01  7.980318e-01  8.004979e-01  8.029550e-01  8.054010e-01  8.078321e-01  8.102407e-01  8.114788e-01  8.122596e-01  8.140108e-01  8.160137e-01  8.182000e-01  8.205338e-01  8.229925e-01  8.255601e-01  8.282248e-01  8.309776e-01  8.338111e-01
  3.571700e-02  6.502339e-01  6.523672e-01  6.544962e-01  6.566202e-01  6.587386e-01  6.608504e-01  6.629545e-01  6.650488e-01  6.671302e-01  6.691919e-01  6.703417e-01  6.711118e-01  6.726383e-01  6.743841e-01  6.762898e-01  6.783241e-01  6.804672e-01  6.827052e-01  6.850279e-01  6.874274e-01  6.898972e-01
  4.496500e-02  5.380686e-01  5.399090e-01  5.417455e-01  5.435777e-01  5.454050e-01  5.472265e-01  5.490411e-01  5.508472e-01  5.526418e-01  5.544192e-01  5.554974e-01  5.562577e-01  5.575956e-01  5.591258e-01  5.607962e-01  5.625793e-01  5.644578e-01  5.664195e-01  5.684555e-01  5.705587e-01  5.727235e-01
  5.660700e-02  4.466081e-01  4.482073e-01  4.498031e-01  4.513950e-01  4.529826e-01  4.545650e-01  4.561414e-01  4.577101e-01  4.592688e-01  4.608120e-01  4.618311e-01  4.625816e-01  4.637609e-01  4.651097e-01  4.665820e-01  4.681537e-01  4.698095e-01  4.715387e-01  4.733333e-01  4.751873e-01  4.770955e-01
  7.126400e-02  3.718238e-01  3.732233e-01  3.746198e-01  3.760128e-01  3.774019e-01  3.787864e-01  3.801654e-01  3.815377e-01  3.829009e-01  3.842503e-01  3.852198e-01  3.859605e-01  3.870057e-01  3.882012e-01  3.895062e-01  3.908993e-01  3.923670e-01  3.938997e-01  3.954905e-01  3.971339e-01  3.988254e-01
